name,age,blood_group,city,available,last_donation_days,email,phone
Faris,23,AB-,Pune,1,141,braranvi@example.net,9797254361
Aayush,25,A+,Pune,1,290,parikhchakradev@example.com,9413968020
Aarini,41,B-,Pune,0,57,yashodharadevi@example.net,9440809114
Forum,30,AB-,Mumbai,1,235,ndalia@example.net,9608291610
Charles,45,A-,Kolkata,1,282,bhavanisant@example.com,9373621277
Tanvi,37,AB-,Pune,1,330,diptamerchant@example.org,9218650545
Wyatt,58,A-,Kolkata,1,118,jhalaklad@example.org,9711199457
Ekaja,44,O+,Delhi,1,292,tsaha@example.net,9431822859
Quincy,59,B+,Delhi,0,151,kalarachit@example.net,9062555123
Chakradhar,37,AB-,Pune,0,253,maanavmital@example.com,9003231816
Rachit,55,AB-,Lucknow,0,295,samuelbhandari@example.com,9738286667
Yauvani,32,O+,Chennai,0,303,darajeet@example.net,9377328587
Peter,21,A-,Chennai,0,141,benjaminpingle@example.org,9782637605
Panini,54,A-,Lucknow,0,60,ychar@example.org,9232431682
Gautam,55,O+,Pune,0,218,ranbir78@example.org,9312248593
Oscar,25,O-,Chennai,0,344,harinakshi47@example.org,9924145400
Tripti,25,AB-,Kolkata,0,47,ijayazachariah@example.net,9657680617
Nandini,37,AB-,Delhi,1,212,ganeshvinaya@example.com,9627950937
Netra,57,A-,Delhi,1,97,rajeshrichadha@example.org,9783403199
Nakul,21,A+,Kolkata,1,308,aadisangha@example.com,9205734309
Agastya,30,AB+,Pune,1,217,lohitnarayan@example.com,9921316949
Ranbir,53,B-,Ahmedabad,0,86,wtara@example.org,9310732601
Dipta,40,B-,Lucknow,0,355,urvibutala@example.org,9132905079
Amol,45,A-,Jaipur,0,188,jack39@example.net,9241127874
Hemal,55,B-,Mumbai,0,316,oandra@example.com,9563109211
Isaiah,53,O+,Ahmedabad,1,83,khari@example.org,9081089319
Daksha,32,O-,Chennai,1,365,advikgoel@example.com,9264026644
Shivani,32,B+,Pune,0,97,jagvithaker@example.com,9411717906
Aahana,27,B-,Mumbai,0,143,dattaonkar@example.net,9541090204
Zansi,55,A-,Jaipur,1,164,ishaan25@example.com,9071545961
Wakeeta,29,AB+,Ahmedabad,1,280,hrajagopal@example.com,9555886698
Karan,31,O+,Bangalore,1,250,forum61@example.org,9678146852
Gaurangi,39,AB-,Pune,1,131,joshuakalita@example.net,9814520116
Pravalika,21,O+,Hydeabad,1,0,abcd@gmail.com,9852631470
